fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
10,0.2982618164527383,0.2907926671002947,3509,different,3509,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.018617877634305603,-0.017363026728527343,-0.0020927740940134497,0.00026040062700849465,0.01890649437588423,0.06674914988365918,0.14567005374029401
11,0.3615660482308568,0.35775996330636317,3596,different,3596,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.016806147022979934,-0.013350172351696953,0.01159493562990872,0.003294338711237943,0.026085601815617542,0.07072468070381965,0.14890555363289187
12,0.26089967016899196,0.20034187996876995,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.013493510557235444,0.0017586045425319386,0.011463309856571735,0.015433654853041068,0.015079534602469358,0.012788951883660627,0.08766373934170384
13,0.0491582951158539,0.04402556936313928,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.028238211256611967,-0.03484526058493072,-0.03210544673045677,-0.015243870738907827,-0.022133285771191134,-0.0006950097685897383,0.14562704653434005
14,0.2354528601109619,0.22075045383875447,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.041165552218453014,0.02092812810040816,-0.02064094968044323,0.031593218728100544,0.05283710999525704,-0.0018078100761247605,0.07814300646241382
15,-0.02868564829244158,-0.030490793064804178,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.010890464645183062,-0.0028372710417658097,0.019415654585459397,-0.016597307794113326,-0.01673071086637672,-0.05402578432046177,0.07307387688849643
16,-0.02650081065796006,-0.0429477383753063,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,-0.05100577881790462,-0.0030929838757338237,0.024969680496515646,-0.019838762057752236,-0.0027734799045724843,0.001966011751776109,0.06280672205633193
17,0.3832236111682715,0.3795853101681691,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.03311647511980489,0.0006587007037076153,0.019902514576027652,0.031688509290465294,0.016630397312096635,0.026878767080567335,0.06973791385915515
18,-0.5599411833640076,-8.331706645934073,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.0012212407361542165,-0.002821780564318388,0.0004151064699093876,0.0029191732986573182,0.005959306168808176,-1.7763568394002506e-16,-8.881784197001253e-17
19,-0.039946525320617265,-0.04411092415292828,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.00859134919772737,0.007258699989972505,0.010128435695081173,-0.013850882131670562,0.01275253988085998,-0.013663544318746456,0.04498098544112783
20,-0.10393203245329774,-0.10779203192204179,193,different,193,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Memory,Perception,0.01393046366469366,-0.0178049783105668,0.029210867575514454,0.04926402122136686,-0.018418055474847872,0.02025525433069251,0.007039816779631813
