fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
14,0.3091382657270589,0.2862462881252625,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
15,0.0075577796124032,-0.1661702264363531,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
16,0.0691184694041066,0.0533432065731914,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
17,-0.0532234563961198,-0.0576920640181168,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
18,-0.0330809935223626,-0.0350833305866118,2585,different,2585,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
19,-0.0750182045541312,-0.1185767742736014,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
20,-0.0537496712394707,-0.2471373989948571,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
21,-0.0307256122447907,-0.0510081269279452,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
22,-0.0685457200555559,-0.14326681839427402,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
23,0.1381668947591203,0.1305381790018496,3233,different,3233,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Memory,Cognitive,0.0270654853362967,0.0237347415007836,0.0256120306889819,0.0262879031978601,0.024778782967035003,0.0349100170014957,0.0503830727352034
