fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
237,-0.058940674416896766,-0.08820897957659635,473,same,238,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.15060800313949585,0.19845443964004517,0.21901339292526245,0.22793403267860413,0.23240409791469574,0.2348238229751587,0.236345574259758
238,-0.014740360564901911,-0.08816181405535573,473,same,239,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.03862585499882698,-0.07886102050542831,-0.11369576305150986,-0.14320877194404602,-0.1679842323064804,-0.18871405720710754,-0.20648497343063354
239,-0.03125842629833642,-0.03184253958869032,473,same,240,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.2306145280599594,0.30344727635383606,0.32706305384635925,0.33548441529273987,0.3384062647819519,0.33923181891441345,0.3395513594150543
240,-0.09127974300357167,-0.16463209126011757,473,same,241,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.00819961354136467,-0.03301434591412544,-0.05524919182062149,-0.07437175512313843,-0.09069464355707169,-0.10465068370103836,-0.11744916439056396
241,-0.07807599534298348,-0.10508933606746407,473,same,242,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.1721646934747696,0.22965548932552338,0.25423580408096313,0.26498672366142273,0.2696479558944702,0.2715449929237366,0.272458553314209
242,-0.09817358845930069,-0.13688465046091824,473,same,243,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12308995425701141,0.15498167276382446,0.16929318010807037,0.17464204132556915,0.1762274205684662,0.1754135638475418,0.17445948719978333
243,-0.09176722688612093,-0.14377495523579853,473,same,244,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.05994149670004845,0.07473497092723846,0.08057130873203278,0.08218088001012802,0.0816907212138176,0.08098550885915756,0.08042114228010178
244,-0.07156747378393602,-0.16399628429771274,473,same,245,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.04285864531993866,-0.0826437845826149,-0.11372434347867966,-0.13908693194389343,-0.1607874482870102,-0.17998114228248596,-0.1974058300256729
245,0.11788577763704877,0.04633020595204018,473,same,246,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.06461729109287262,0.06681028008460999,0.06024916097521782,0.05237220972776413,0.044600896537303925,0.037007205188274384,0.031190110370516777
246,0.05946912309275976,-0.026321199958248664,473,same,247,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12961238622665405,0.1579892784357071,0.16928330063819885,0.17402757704257965,0.1769714057445526,0.1781638264656067,0.1783660352230072
247,0.010499099816602797,-0.024940256550618267,473,same,248,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.07938788086175919,0.10367172956466675,0.11125614494085312,0.11140179634094238,0.10746599733829498,0.10358839482069016,0.09968433529138565
248,0.07586193438613698,0.04491205718868774,473,same,249,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.09216265380382538,-0.17128953337669373,-0.23583421111106873,-0.2898566424846649,-0.3378737270832062,-0.37998712062835693,-0.416273832321167
249,-0.05078301017483078,-0.13801729174156363,473,same,250,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.07088777422904968,-0.13231495022773743,-0.18096472322940826,-0.2208958864212036,-0.254006564617157,-0.2829984426498413,-0.30877363681793213
250,0.09512746950076278,0.048228669378072686,473,same,251,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.08768550306558609,0.1078522726893425,0.11248321831226349,0.11214720457792282,0.11008430272340775,0.10709794610738754,0.10388737916946411
251,-0.10958124042664386,-0.22084156805518607,473,same,252,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.015481239184737206,-0.04121847078204155,-0.06068982183933258,-0.07579147815704346,-0.08661278337240219,-0.09585913270711899,-0.1035427525639534
252,-0.033587105413987794,-0.1336196275845014,473,same,253,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.01268600020557642,-0.03447318077087402,-0.055017683655023575,-0.07310391962528229,-0.08798593282699585,-0.09951289743185043,-0.10848751664161682
253,-0.15222027168992924,-0.30488967925435384,473,same,254,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.021276162937283516,-0.04669751226902008,-0.06717594712972641,-0.08335702866315842,-0.0964631512761116,-0.10731291025876999,-0.11610102653503418
254,-0.09597990450884364,-0.17110970453145513,473,same,255,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.11466164886951447,0.15076233446598053,0.16913145780563354,0.17771130800247192,0.18235401809215546,0.1850014179944992,0.18652035295963287
255,0.07354924678805008,0.013435146681906374,473,same,256,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.07338133454322815,0.0901034027338028,0.09096916019916534,0.08565963804721832,0.07885941863059998,0.07171449065208435,0.06485477834939957
256,0.8029638730352311,0.8028945165387943,473,same,257,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.23462294042110443,0.2944492697715759,0.30850639939308167,0.31081217527389526,0.30929189920425415,0.30685022473335266,0.3043648898601532
257,0.06831653688241701,-0.02904881456183217,473,same,258,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.16184531152248383,0.20281565189361572,0.21913699805736542,0.2254887819290161,0.2280748188495636,0.2293965369462967,0.23043587803840637
258,-0.17412504865157663,-0.22737575667433818,473,same,259,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.11072690039873123,0.14431880414485931,0.16162128746509552,0.16916415095329285,0.17216698825359344,0.1739041805267334,0.17463251948356628
