fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.1044816004474666,0.0860339953916772,1593,same,1,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.038544983,-0.04761874,-0.04847137,-0.048373953,-0.0481957,-0.047820795,-0.047770992
1,0.0179007773623905,0.0087414324446877,1593,same,2,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.09772741,-0.11581345,-0.11762199,-0.11800926,-0.1181835,-0.11822007,-0.118151784
2,0.0484799332478802,0.0454481965844103,1593,same,3,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.05909908,0.060222622,0.060812216,0.06104403,0.061091457,0.06109591,0.06109747
3,0.0262920080704595,0.0026475997062074,1593,same,4,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.05903993,0.062622935,0.06325981,0.06321824,0.06322346,0.06333071,0.063610435
4,-0.1897529339893018,-0.2152650536509437,1593,same,5,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.047870003,0.04409998,0.04426478,0.04413432,0.04406658,0.04435173,0.044480186
5,0.1389286074235004,0.1389252332216555,1593,same,6,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.25852934,0.2932592,0.30059147,0.30244327,0.3029013,0.30295432,0.3030933
6,-0.0737693526386016,-0.0796459511893223,1593,same,7,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.2097852,-0.2411686,-0.2450308,-0.24589105,-0.24602386,-0.24588813,-0.24602392
7,0.3011963353410981,0.3003193348284654,1593,same,8,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.10570662,0.12129949,0.12493311,0.12566191,0.12608378,0.12621155,0.1263364
8,0.1068320190397023,0.0982227203908343,1593,same,9,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.19517776,-0.22024189,-0.22319975,-0.22337909,-0.2234051,-0.22340976,-0.22355297
9,-0.0187581756865777,-0.0382636519235008,1593,same,10,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.10657231,-0.12757564,-0.13079096,-0.13132195,-0.13139191,-0.13140605,-0.13157466
