fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.0789029211525784,-0.4072068036023786,1193,same,1,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.4440197,-0.4786999,-0.4800313,-0.47994804,-0.47989103,-0.4803874,-0.48038387
1,0.3498604385737629,0.3464871339646727,1193,same,2,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.07291059,0.049448676,0.050841197,0.05097413,0.051720355,0.05246046,0.053209174
2,-0.0644071110057329,-0.0697561069386565,1193,same,3,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.07665611,0.061186448,0.065209635,0.06479644,0.06538488,0.065295525,0.06501752
3,0.0043799808231491,0.0041605447417774,1193,same,4,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.06280642,-0.07933889,-0.0786251,-0.07812153,-0.07784112,-0.07758594,-0.07762243
4,-0.1212636429913942,-0.1392382347695222,1193,same,5,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12706058,0.11217659,0.1150861,0.115404,0.11619368,0.116383746,0.11635722
5,0.4442658807276863,0.4347751887515194,1193,same,6,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.15144317,0.13828214,0.14292951,0.14295433,0.14361882,0.14415188,0.14490646
6,-0.0042770732768542,-0.0094512095429037,1193,same,7,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.12210745,0.101575926,0.10698596,0.10654723,0.10697015,0.107178956,0.10770041
7,-0.1872156633122277,-0.2073115662440401,1193,same,8,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.06947687,0.06100657,0.06282069,0.0627654,0.062772654,0.06277147,0.06293047
8,0.0477259205616958,0.0321538911327622,1193,same,9,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.13764034,0.12737817,0.13077052,0.13111313,0.13170199,0.13214661,0.13258588
9,0.1452531622194821,0.1421477407566418,1193,same,10,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.00422183,-0.016659949,-0.0136424815,-0.013560218,-0.013237273,-0.013192433,-0.012925352
10,0.2817906351022491,0.2801179890279475,1193,same,11,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.06673411,0.05286586,0.055900823,0.055585574,0.05589565,0.055254117,0.054769978
11,0.0123718078390869,-0.0197054742287545,1193,same,12,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.2115832,0.19663088,0.20148905,0.2007862,0.20091586,0.20090118,0.20047216
12,-0.0424636293323279,-0.0822445518809054,1193,same,13,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.24225035,0.23463045,0.23961096,0.2394456,0.24006736,0.24061652,0.24117085
13,0.0455177934433032,0.044225699380931,1193,same,14,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.0047255508,-0.0065760654,-0.0035183767,-0.0033914298,-0.0027830931,-0.0020630509,-0.0022976783
14,0.0941250061535732,0.0865941079798131,1193,same,15,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.1729076,-0.18664365,-0.18486737,-0.18417726,-0.18414766,-0.18387726,-0.18386757
15,0.3004818365625498,0.2988487916690493,1193,same,16,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.08048556,0.06145065,0.06694531,0.066823445,0.067024484,0.067504704,0.0682165
