fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.2676753298894333,0.2662413882915353,899,same,1,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.18393607,-0.21576974,-0.22185779,-0.22376707,-0.22527614,-0.22508773,-0.22558238
1,0.5199734087277985,0.5190308944608351,993,same,2,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.17565031,-0.19965203,-0.20218171,-0.20263276,-0.20267904,-0.20291951,-0.20272617
2,1.0,0.0,984,same,3,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.38809982,-0.43211976,-0.4352107,-0.43521985,-0.43518242,-0.4351801,-0.43517894
3,-0.0945637283385336,-0.110257963825614,993,same,4,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.017402101,0.015469086,0.015842428,0.015523569,0.015322715,0.015116642,0.015105845
4,0.0932456022950481,0.0930675693254918,993,same,5,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.13321872,0.15230227,0.15715614,0.15822947,0.15848364,0.1587538,0.15894204
5,-0.1068819187879379,-0.1100998696582502,993,same,6,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.2616436,0.30409226,0.3156263,0.3184624,0.31917763,0.31943604,0.31942874
6,-0.0569846374265867,-0.0617958028304532,992,same,7,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.14708643,0.16684482,0.17157243,0.17250048,0.17281981,0.17285468,0.17267969
7,-0.2483933291961588,-0.2723465989152542,993,same,8,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.0028425574,-0.010466317,-0.011528717,-0.0123026725,-0.012175016,-0.012419768,-0.0124537395
8,0.0809143237020831,-0.0349088835689037,898,same,9,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.30350268,-0.35685164,-0.36618602,-0.3674548,-0.3677386,-0.37033525,-0.37021744
9,-0.0135658949959964,-0.0135686011633964,676,same,10,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.040802322,0.03963317,0.04075165,0.041190222,0.042342808,0.040119078,0.037996717
10,-0.0815785256434264,-0.0874691579918942,889,same,11,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.007665344,0.0026422488,0.0020943985,0.00087149994,-0.00040254355,-0.00022949139,-0.0018650686
11,0.4071680634269297,0.3993332807410708,993,same,12,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.0018573405,-0.003164979,-0.0036903033,-0.0036936393,-0.0033146848,-0.0030994695,-0.002635539
12,-0.0492080068598363,-0.0633885664839699,993,same,13,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.020962821,-0.028638098,-0.029398715,-0.02967615,-0.030306598,-0.030614782,-0.0312929
13,-0.0724060853126402,-0.0724144535739854,984,same,14,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.23178911,-0.2713511,-0.27743235,-0.27840963,-0.2783114,-0.2789036,-0.279654
14,0.0744513749441284,0.0673924512270303,984,same,15,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.00091718585,-0.005810281,-0.006711618,-0.0068786875,-0.006676186,-0.0066404687,-0.006915493
15,0.0732361349210295,0.0643666215099574,985,same,16,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.07570846,-0.09484728,-0.09775913,-0.097821556,-0.097367115,-0.09723915,-0.097350955
16,0.0728096952516281,0.0683794655694831,993,same,17,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.054901447,0.059984304,0.061166406,0.061854288,0.062248275,0.06253184,0.06260104
17,-0.0007830606421417,-0.003418652591044,793,same,18,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.10717629,0.118363574,0.12141861,0.122320935,0.1221797,0.12216123,0.12216007
18,0.0231058283664699,0.0131521366723653,797,same,19,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.07802859,-0.10007748,-0.105633594,-0.10632907,-0.10523297,-0.104398645,-0.104493454
19,0.0198026516327861,0.0120709835467271,993,same,20,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.0434866,0.042757675,0.042625494,0.042180695,0.041903347,0.041652206,0.0416489
