fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.004009099731719035,0.0030024325344099045,1593,same,1,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,0.001191318831446586,0.0015672663694478173,0.00023973481224253134,-0.0006775464415071264,0.003706546150807566,0.008402518671763958,0.00720191825171348
1,-0.032358986180990534,-0.13781644798033876,1593,same,2,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,0.0001043208451583677,0.0005598618904694597,0.0022330679056354443,5.3050762406048337e-05,-0.005835363399343496,0.005640150255127585,-0.003235270053317674
2,0.012344920573251095,-0.07375053833739065,1593,same,3,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,0.0024260412713760227,0.0048244885174489,0.0028402311721527516,0.0019181945262930489,0.0052367922420026415,0.0058811912873246944,0.01576802666312438
3,-0.03267432684725158,-0.3573335435943128,1593,same,4,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,-0.0049231777691202796,0.0005415179589332464,0.001982200380802368,0.0026412177928692325,-0.004225777315420398,0.0001401585554886786,-0.003509540333472394
4,-0.012530088862868993,-0.11785086418077828,1593,same,5,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,0.003094980320952079,2.2285817870937307e-05,-0.001975046746674547,-0.002226433950044493,0.0032511656670887847,0.0002773086954905857,0.011932722713839893
5,-0.019164953714235988,-0.06984772670809636,1593,same,6,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,-0.002518282897539148,-0.004600488689518389,0.005510044044918949,-0.0014134742734385863,0.004500297127421016,-0.003104355422675198,0.006301054952324092
6,-0.037379856464387684,-0.1139551316211127,1593,same,7,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,-0.0016036069270382036,-0.00013411191059868876,0.0017881446921737877,0.0004121576152595008,-0.0016621203474954439,0.0019874323082090138,-0.0037291308568599747
7,-0.024276099925836236,-0.07055655672133931,1593,same,8,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,0.0041370268304901535,0.0029614004872470013,0.0001586596582575428,0.002113152673043084,-0.0033352468016404568,-0.004191060330240548,0.008158548556957346
8,-0.014663283866723775,-0.039041495188220754,1593,same,9,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,0.0017796086766579844,-0.001396217386651788,-0.003201453555397071,-0.0017524406476963962,0.003028814345670083,5.047439355725381e-05,0.007601938349292503
9,-0.01851543214762419,-0.019415518080444727,1593,same,10,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:5|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,0.001024101372914643,-0.0019899324535289863,0.0011384589775456978,0.0012913628851852986,-2.5562327452810506e-05,0.004163181274148009,0.0005936285212600811
