fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0002980532760562,-0.0778882347668961,993,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11541559,0.20433564,0.26478764,0.30301738,0.32659322,0.3411301,0.3501599
1,0.0033474903727276,-0.0869508267180814,993,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.114157364,0.202357,0.2626482,0.30101234,0.32479978,0.33952895,0.34872714
2,-1.9962918404115012e-05,-0.0116654815616301,993,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11438616,0.20261085,0.26269192,0.30073792,0.32418993,0.3386197,0.34755403
3,0.0002780909687225,-0.2595034161177652,993,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.113878556,0.20195298,0.26238468,0.30106047,0.3252158,0.34029987,0.34979686
4,1.8252081947167653e-05,-0.6908160703459569,993,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11262663,0.20015146,0.26080337,0.30016348,0.32513523,0.34099227,0.3511525
5,0.0001780284877018,-0.7059084390177595,993,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.112833284,0.20055482,0.26135054,0.30079204,0.32580546,0.34168842,0.35186258
6,-0.0001323574137148,-0.45192693194846,993,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.114371546,0.20265184,0.26321182,0.3020679,0.3264445,0.3417523,0.35144988
7,0.0001913721944117,-0.2456062208192642,993,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.114835575,0.20351237,0.26415813,0.30283767,0.3269222,0.34192067,0.35134545
8,0.0014219509581204,-0.5460608247169207,993,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11306065,0.2007823,0.2613816,0.30055058,0.32529888,0.34094214,0.35092735
9,0.0015606754183337,-1.1238784750900035,993,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11153515,0.1985471,0.25930336,0.29911575,0.32463586,0.34101498,0.3516317
10,0.000653879050973,-0.2626167721949553,993,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11386409,0.202024,0.26255578,0.30132434,0.3255524,0.34068966,0.350227
11,-0.0001393299944065,-0.0588701524439911,993,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11439338,0.20260352,0.26274726,0.3009029,0.32449442,0.3390581,0.34811643
