fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0002320520900425,-0.6088099595423924,193,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11329122,0.20152457,0.26264137,0.3022386,0.32731655,0.34322986,0.35340965
1,0.0008311459488371,-0.1403663501928382,193,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11464453,0.20342758,0.26422092,0.3029644,0.32703036,0.3419687,0.3513147
2,0.0004813933131525,-0.2671806401127283,193,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11382042,0.20237567,0.26342613,0.3025767,0.3270987,0.3424359,0.35211095
3,0.0013253269676386,-0.4103392161431671,193,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11312921,0.20116025,0.26212767,0.30151168,0.32636327,0.34200746,0.35192835
4,-4.824856376495213e-05,-0.8614531331836728,193,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11235452,0.20021892,0.2614864,0.30149955,0.32698676,0.34328583,0.35378772
5,-2.997584275377108e-05,-0.5422675296877033,193,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11261868,0.20047438,0.2614756,0.3010365,0.32610935,0.34198323,0.35212222
6,0.0011336422292417,-0.3220504802923303,193,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11336547,0.20149623,0.2623346,0.3015298,0.32612196,0.3415581,0.3513289
7,-7.014939457694602e-05,-0.13048312615183,193,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11440562,0.2031669,0.264046,0.30288997,0.32704777,0.34202474,0.35136804
8,-0.000343583456744,-0.5457196764280468,193,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11351038,0.20199437,0.26325724,0.30287144,0.3279307,0.3437392,0.3538593
9,0.0004207466769464,-0.5418010552732873,193,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11254423,0.20034774,0.26138005,0.30103394,0.3261466,0.3420282,0.35217834
10,-3.3716555648544144e-05,-0.1371954496510317,193,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11458823,0.20358893,0.26460505,0.3034981,0.32764593,0.3426231,0.35201812
11,-4.962069616443188e-05,-0.4778296814496861,193,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11314759,0.20132379,0.26238647,0.30191055,0.3268686,0.3426304,0.35267377
12,7.258373837826237e-05,-0.2777532853570619,193,same,13,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11309097,0.20109408,0.2618724,0.30100104,0.3255436,0.3409557,0.3506918
13,0.0021517207749555,-0.275227249028718,193,same,14,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11312939,0.20112397,0.26187384,0.3010011,0.32555544,0.3409492,0.35071075
14,0.0004037218861605,-0.1493173095798527,193,same,15,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.113537356,0.20164798,0.2622292,0.3010181,0.3252143,0.34028834,0.34971458
15,0.0010528042077541,-0.6607220747132954,193,same,16,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11214328,0.19979258,0.26081336,0.3005388,0.3257849,0.34182498,0.35214487
16,-6.27187206998503e-05,-0.4721057696276787,193,same,17,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11287759,0.20091356,0.26193538,0.30143675,0.32639745,0.3421287,0.35214895
17,5.380794637122044e-05,-0.6751867655867225,193,same,18,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11232988,0.2000183,0.26101378,0.3007029,0.3259283,0.3419235,0.35221168
18,0.0007370485970349,-0.3152087660943332,193,same,19,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11336362,0.20149256,0.26235753,0.30153623,0.32615396,0.3415791,0.3513452
19,-0.0007321226661727,-0.3084296137053346,193,same,20,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11376575,0.20214827,0.26305443,0.30221742,0.32675695,0.34216195,0.35189605
20,0.0012221102292919,-0.3065841414125501,193,same,21,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.113619976,0.20197462,0.26294968,0.3021497,0.32673982,0.34215936,0.3519114
21,0.0007588941433929,-0.4321088605626053,193,same,22,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.113910675,0.20264742,0.26397026,0.30350825,0.32839188,0.34406486,0.35399783
22,0.0005804269764344,-0.2236442100407805,193,same,23,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11393578,0.20240174,0.2632253,0.30217782,0.32653043,0.34177136,0.3513375
23,-0.0001815379305825,-0.6560215449926556,193,same,24,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11279434,0.20074412,0.26185182,0.30152684,0.32665685,0.34258702,0.35281286
24,0.0001147315793297,-0.3710948591703125,193,same,25,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11312688,0.2011512,0.26204708,0.30133823,0.32609203,0.3416438,0.3515157
