fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
10,-0.0209829251403725,-0.0399229341289697,692,same,11,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0010506023437838,-0.000298612864573,-0.0012744732492405,-0.0004106265801721,-0.0016258920940614,-0.0008968670454565,-0.0018089470118342
11,0.0124379401222595,-0.0175686513691644,692,same,12,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0004379021816046,-0.0060889003624539,0.00668379728907,0.0050063301653659,0.0017804740551468,-0.0005567344720157,0.0243405331933133
12,-0.0013178054221016,-0.0042097217190761,692,same,13,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-3.217383588012268e-05,0.0068519289981526,0.0008758201786519,-0.0012051612551804,-0.0053594087386481,-0.0008281824660831,0.0080161431818395
13,-0.004237150571815,-0.0769390668852454,692,same,14,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0003733373519954,-0.0035039356594974,0.003337641777354,0.0031965212157418,0.0028878842015895,-0.00155962064712,0.0100091992751852
14,0.0105484173345891,0.0005500601418033,692,same,15,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,0.0005833895905188,-5.462981159976011e-06,0.0071883265574154,0.0065323840475647,0.0016236269941074,0.0005388596744272,0.0134675008441984
15,-0.0095621110653718,-0.0450765429979338,692,same,16,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-9.248913675721226e-05,0.0015844177169883,-0.0025539369952377,-0.000372111104544,-0.0018455729606921,-0.0010568987394535,0.0079916691051119
16,-0.0075368364218839,-0.0132103833957175,692,same,17,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,0.0003632996175139,-0.0031903566415913,0.004054696306477,0.0034281380535198,0.0022717175749544,0.0003407342791057,0.0104155397680649
17,-0.0208189997964172,-0.0212559522861781,692,same,18,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:10|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0027132534141951,-0.0032799023739544,0.0099330640130433,-0.0055383908047047,0.0010434709737204,-0.0007353755357291,-0.0073169301103048
18,-0.0031514595363431,-0.0038079383185469,692,same,19,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:10|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-0.0010242596258696,-0.0013198142424891,-0.0080787250058218,0.0062728769306496,0.0020831046759666,-0.000313985989444,0.004372543474657
19,0.0033655423353156,-0.0257518187062331,692,same,20,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,4.379463292014663e-06,0.0020174229487557,0.0072917355430466,0.0033014188453784,0.0036970051062648,0.0002255638054932,0.0026557093732514
20,-0.0150411909803713,-0.8889311917539184,692,same,21,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:3|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:10|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,-9.776949022466395e-05,-0.0013986446897864,-0.0006925999453211,-0.0037142363896841,0.0035768862256182,-0.000107862988663,0.0028750540950353
21,-0.0192072868084984,-0.0629060661133897,692,same,22,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:4|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Perception,0.0007283254262202,0.0078326372907674,-0.0011311466209416,-0.0001696748455409,-0.0026650197716939,0.0004861570695688,0.015753651407824
