fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0004168441337746,-0.2496117554801169,3257,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.113208696,0.20045143,0.26021197,0.2984681,0.32239103,0.337335,0.34676513
1,-1.648506231965996e-05,-0.1977472036290035,2105,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11185494,0.19827223,0.2577144,0.2959069,0.31984425,0.3348191,0.34425643
2,-9.919521278378696e-06,-0.1722711545591049,761,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11299482,0.20013793,0.25982976,0.2980013,0.32181832,0.33665824,0.3459786
3,-6.31466458060892e-05,-0.1844582521274265,1529,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11290446,0.19998379,0.25967768,0.2978987,0.3217784,0.33667764,0.3460437
4,-7.962373549497137e-05,-0.1927516817692343,2297,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.112519175,0.19937386,0.25895557,0.29713538,0.32099387,0.33588478,0.345251
5,3.2767278077883155e-05,-0.1963307346783693,2489,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.112550065,0.19940446,0.25901976,0.29725254,0.3211741,0.33611295,0.34551936
6,0.0001537903352205,-0.2587278952463165,2297,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11296866,0.20011154,0.25989753,0.29822895,0.32222813,0.33724743,0.34672055
7,0.0003630762487195,-0.2019271686525532,1145,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.1122073,0.19879076,0.25827685,0.2964746,0.32040235,0.33537135,0.34480467
8,-0.0002248153079154,-0.1806325636394761,2105,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11253268,0.19940494,0.2590149,0.2972156,0.32109734,0.33599794,0.34537083
9,-5.697954413785844e-05,-0.1706000660561324,857,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.113349736,0.20068641,0.26040304,0.2985082,0.32223883,0.33700505,0.34626395
10,0.0001481486568083,-0.186145322948692,1529,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.113597326,0.20111331,0.2609348,0.29910308,0.3228701,0.33766413,0.3469516
11,2.0271677489080982e-05,-0.2118355301217493,1961,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11130119,0.19739363,0.2567556,0.29499954,0.31902733,0.33409294,0.34359738
12,-4.9672871856421e-05,-0.1991664385000775,1721,same,13,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11151268,0.19775559,0.25716797,0.29540172,0.3193917,0.33442605,0.34389707
13,-0.0001220901598406,-0.2015597219750327,1721,same,14,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11358578,0.20107892,0.2608883,0.2990523,0.32283416,0.33763918,0.34694058
14,-0.0001471601910314,-0.1763579064385161,2297,same,15,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11284593,0.19979186,0.25935295,0.29746196,0.32125682,0.33609843,0.3454138
15,-2.44888305951374e-05,-0.2274074931614511,2297,same,16,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11170689,0.19805573,0.2575143,0.2957704,0.3197756,0.33482733,0.34431562
16,-5.0399010933066535e-05,-0.1742453237553414,2681,same,17,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11314969,0.20032328,0.25997147,0.29809028,0.3218557,0.3366611,0.34595358
17,-0.000258084039308,-0.164454448026208,1913,same,18,"input(,7,1)->lstm(,7,1)->output(,1)",accuracy,0.11341002,0.20073219,0.2604355,0.29854226,0.32227817,0.33705333,0.34632203
