fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
15,0.0057482305848298,0.0057482254097284,1593,same,16,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046078104760937,0.0084972528627511,0.0067045117569386,0.0055727874717873,0.0084175139279265,0.0078956404560989,0.0103222587847548
16,0.0048578193802372,-0.0002510022652888,1593,same,17,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0045026279848998,0.0085099260946045,0.0069066357439951,0.0054925693595736,0.0083715567823421,0.0080065485451477,0.010119252746117
17,-0.0007341076763611,-0.0191636433603705,1593,same,18,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047810049148,0.0082895195538129,0.0068758196494779,0.0055905221543282,0.00831141860053,0.007590959205547,0.0103735833349132
18,-0.0007839656780881,-0.003731352746064,1593,same,19,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0047799769067541,0.0085903438784048,0.0072327258557859,0.0057963416258471,0.0081904906841217,0.0077194280320722,0.0101991288189243
19,0.0068872211556985,-0.070742159041663,1593,same,20,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0042849683598164,0.0077575282723802,0.006261656294335,0.0051237415794076,0.0075401669544744,0.0072616728522083,0.0096883375318732
20,-0.0025335808584696,-0.0222077210587268,1593,same,21,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046675864313747,0.008290639581698,0.0067948330673262,0.0056570887248755,0.0082904895371761,0.0080888239193681,0.0101421209061243
21,0.0005172368609497,-0.007598641224259,1593,same,22,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046863934409969,0.0085992861375943,0.007126222710599,0.0053562194969163,0.0083587439217739,0.0079461557113466,0.0100627814137273
22,-0.0036397983600706,-0.0175150199508877,1593,same,23,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.004527920906447,0.0085877268205132,0.0068932684719205,0.0054899719289811,0.0084908184270278,0.0079842906015776,0.0101948473556431
23,0.0005087330648897,-0.0178496794231339,1593,same,24,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046557539740812,0.0083384806532776,0.0068872359867678,0.0056659662619332,0.0082882249785879,0.0080842648012603,0.0099593984342042
24,-0.0079367997097952,-0.0079908123676593,1593,same,25,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046820433971922,0.0085446316912824,0.0067774232620621,0.005644960541099,0.0085207236587696,0.0081968047921316,0.0105261177569034
25,0.0089933716467858,0.0089630092412701,1593,same,26,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0045682638906442,0.008495579690364,0.0067803667709449,0.0055399892039121,0.0083597345091264,0.0079425812912194,0.0102148303765364
26,0.0009254828569777,-0.0483482770862122,1593,same,27,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,accuracy,0.0046437871712572,0.0081325060523516,0.0065936376547454,0.0057639254287218,0.0079593626098255,0.0073627665842971,0.0098054378588924
