fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
25,0.18931366027800667,0.18772360365605623,614,same,32,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.010592715880029146,0.014390218726367587,0.00842670951889799,0.01679084685326706,0.02087001085504885,0.02094761830717904,0.08632996238236759,0.00025655898621199655,-9.967809698940844e-05,-0.0008647154813969272,-0.001543514897796161,0.0007235214930534806,0.0030647805905498426,0.0003422296666568458
26,0.329829162419784,0.32801576154932577,676,same,33,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.022537941299146325,0.040925683862462536,0.03259462509024173,0.030762465506452473,0.04737760769865351,0.05963925588929653,0.10442207426023727,0.00040821810765645505,-0.000754702767377724,0.0009607006131395091,2.3627259493985696e-05,0.0001282795303376494,0.0019121169513609316,0.000993754467559782
27,0.01916169593710093,-0.016139668862502177,655,same,34,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,-0.0018349700653414347,0.005202612735301271,0.0015361631173079094,-0.005855050867853473,-0.0018600134259894041,0.016546370926590524,0.06712725540730677,0.0007383022649192661,-0.0010463937883378848,0.002387962928317289,0.0006543963624448645,0.00010407986110276824,-0.0006479208263098446,-0.00021558398389045496
28,0.5389175956813625,0.44732183561843963,236,same,35,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.05754163976776603,0.05322288500039383,0.06300405992989536,0.03015184410732503,0.04124189973946331,0.1015367129395357,0.20822619754560553,0.001988725415624182,0.0014384458073958494,-0.0013255084081456258,0.0034679296072007704,0.001501415627038627,-0.0015201456040859096,0.0010562603528612823
29,0.30546292348373527,0.25444156869204015,204,same,36,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.019131295936309356,0.04007554950953882,0.01669681351856662,0.025007124631231493,0.016831468952176132,0.06638658169534814,0.16672324631950483,-0.0013354447029470863,0.001111102890001825,-0.0042779757138685206,0.0015435172953464082,0.0027898355423501718,0.0034955769617335264,0.0009163858347466913
30,0.2151826245952697,0.19492316914548435,227,same,37,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.042268313561524454,0.03384265199382321,0.02257894308571946,0.0043487122882732935,-0.0011037127946126324,0.08451937655358262,0.09459469576793614,0.004675208227997852,0.002641374004072272,-0.0017215206050192,0.004104951346620323,-0.002441647727229701,-0.0012197075038431703,0.001928862876271964
31,0.3939356947230753,0.392055576313296,228,same,38,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.03173367503296698,0.02467982692712236,0.02225716701081033,0.03152135771803808,0.016033411213810612,0.06212586691178286,0.11607556625676163,-0.0013928337411030834,0.0026387235102614424,-0.0005602938284261727,0.000447831210387073,-0.000973144775741952,-0.001679192653063355,0.0008235905294143198
32,0.03455833781269646,-0.2595917505620151,111,same,39,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,-0.02441160118435435,0.005785298469211475,-0.021706802437851593,-0.016152579495283127,0.032634214559784526,0.06271179463018253,0.1299972469439742,-0.004016625303527976,0.0011313912197130406,-0.010604647282111657,0.004633744455987099,0.004468820075267543,0.0025975230251774617,0.005939320043784124
33,0.47261764670003237,0.4711719323210867,714,same,4,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.04223811411570246,0.050940423052818276,0.052931372704021415,0.05289569214021721,0.050885079024877954,0.07777722817074104,0.13115367672294212,0.0006092378796086484,0.00011482898267094477,0.0010607290930616075,-0.00015854855738408613,0.000769435019892728,0.0010092964459101684,0.0017458221195838508
34,-0.10645620565447156,-0.3674718025480128,107,same,40,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:9|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence-accuracy,Cognitive,Memory,0.00015735567317642918,-0.00954695240028287,-0.009893010544482684,-0.022383217523739285,0.0010197536478766978,-0.01193810630376615,0.12379620137750921,0.003214082660064843,-0.007501272971508266,0.009001945762674702,-4.763105475609208e-05,-0.002193777318455448,0.00370844469709275,-0.0038464973041459683
