fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
10,-0.028140311260490547,-0.03346231935539934,4313,different,4313,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.00021580039045785427,0.0013279195569812162,0.004800950141853111,0.0014719536932304767,-0.0007358548737280924,-0.0019226569353044897,-0.0029873916482564323
11,-0.029425956288918975,-0.03131900099545781,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,9.84523896222722e-05,0.0001720353878306824,-0.0004913315928138484,0.002383058866624843,0.0015338993440575433,-0.00018635079971849323,0.0007228345082059384
12,-0.02837131256415315,-0.05803996942019829,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.0019481488656759361,-0.001271689262147424,1.9679417719098426e-05,-0.001476509860919073,0.00472525772160215,0.0016761798177676646,0.0027413231588021337
13,-0.02884061351600864,-0.03271391295560977,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.00012050063039641401,0.005150544591536077,1.0496356185729639e-05,0.0026203473217023985,-0.0028439722831307803,0.001820729618455763,-0.0004577610991172154
14,-0.027485462901133406,-0.05354116579761725,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.002487936114576916,0.0028062031483812254,0.004574659782557555,-0.0022709437892913797,-0.003967337200050114,0.0030383739758042872,-0.006048194593504341
15,-0.027680261355263802,-0.043286357466488345,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.001525072502674707,0.0011892579887113008,-0.003318949764639223,0.002742601542575196,-0.00030777678810447464,0.0010639938344472188,0.0033214239333521967
16,-0.026435915138996124,-0.049033169928938136,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.001915646869362897,0.0018235496875619096,-0.0006814284827093342,0.001254017892074133,0.00029869451842525765,-9.601342666667456e-05,0.0005942292407304705
17,-0.025316550393035264,-0.03200693037309876,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.0021736309222599726,0.0009441763673268433,-0.0031644980416353887,0.0017152574073557413,0.0015478906720499453,-0.0003762372403005365,-0.001276563868037961
18,-0.026872874300630123,-0.043326666122999846,2585,different,2585,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.004730933265732729,-0.002747840505500232,-0.00033076176257593735,-0.0004656194691548432,0.0006827372665195952,0.002043775536114856,0.0018935504289192106
19,-0.03716730322216444,-0.05798615906585591,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.0012135280840694929,-0.0010012702354981417,-0.003587395310649466,0.005080466467288813,-0.0005996505944182662,-0.0030084304844804955,0.0003679642753143586
20,-0.03345234345956327,-0.07072803968854258,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.0012757737437636863,-0.0008700821680225346,-0.00037137589519713464,-0.006014254163694321,-0.00414879832552213,0.0034046039077907596,-0.0008828864902155953
21,-0.021778505936053127,-0.0514085015419925,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,-0.003345935838508307,0.0016916936948751181,-0.0017469289372215701,0.0016241746624508836,-0.0009101451085310686,0.0019168263081535298,0.002285779346986816
22,-0.024666953149321103,-0.03850273984534747,3233,different,3233,bootstrap:True|ccp_alpha:0.0|criterion:mse|max_depth:7|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_impurity_split:None|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,accuracy,Perception,Cognitive,0.0030407096275599788,0.0032848492598137823,-0.004495615350790816,0.003605530783962152,0.003896268146715132,0.00102628180826847,-0.0006375011991865964
