feature_type,target_data,source_data,model_name,score_mean,score_std,pval,p_corrected,stars
all,Perception,Perception,Support Vector Machine,0.06792515172011838,0.31860948734510697,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Perception,Random Forest,0.09507679103001321,0.1960800445952381,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Mixed,Support Vector Machine,0.17087007945376553,0.21097159628253567,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Mixed,Random Forest,0.17360875282740607,0.20695907108368086,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Memory,Support Vector Machine,0.1706478125524474,0.21055381986304753,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Memory,Random Forest,0.1653006935621558,0.21080099192531976,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Cognitive,Support Vector Machine,0.17613775182950167,0.20271733488026306,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Cognitive,Random Forest,0.1600488795519681,0.2062574930671658,9.999000099990002e-05,0.019198080191980802,*
confidence,Mixed,Mixed,Support Vector Machine,0.07887495950792002,0.16294841564381687,9.999000099990002e-05,0.019198080191980802,*
confidence,Mixed,Mixed,Random Forest,0.08009471853391176,0.16151325157630278,9.999000099990002e-05,0.019198080191980802,*
confidence,Mixed,Cognitive,Support Vector Machine,0.13079352816785056,0.18276165263405073,9.999000099990002e-05,0.019198080191980802,*
confidence,Memory,Perception,Support Vector Machine,0.11075618070805944,0.17934118976805266,9.999000099990002e-05,0.019198080191980802,*
confidence,Memory,Perception,Random Forest,0.09276761806159425,0.17973541193166837,9.999000099990002e-05,0.019198080191980802,*
confidence,Memory,Mixed,Support Vector Machine,0.11558454592617688,0.17541449271380696,9.999000099990002e-05,0.019198080191980802,*
confidence,Memory,Mixed,Random Forest,0.10595212086761639,0.17601934823909832,9.999000099990002e-05,0.019198080191980802,*
confidence,Memory,Cognitive,Support Vector Machine,0.12328784240013357,0.1681992095654454,9.999000099990002e-05,0.019198080191980802,*
confidence,Memory,Cognitive,Random Forest,0.10597888008151243,0.1728758531958331,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Perception,Random Forest,0.11208465610592858,0.21808691120228604,9.999000099990002e-05,0.019198080191980802,*
all,Perception,Perception,Random Forest,0.18551351054676965,0.32319535595592086,9.999000099990002e-05,0.019198080191980802,*
all,Perception,Mixed,Support Vector Machine,0.14186043438764206,0.4667941764001369,9.999000099990002e-05,0.019198080191980802,*
all,Perception,Mixed,Random Forest,0.1555121653556925,0.22317500530374645,9.999000099990002e-05,0.019198080191980802,*
all,Perception,Memory,Random Forest,0.10102459314866247,0.26849877791338833,9.999000099990002e-05,0.019198080191980802,*
all,Perception,Cognitive,Support Vector Machine,0.13737867300422063,0.6391678597340177,9.999000099990002e-05,0.019198080191980802,*
all,Perception,Cognitive,Random Forest,0.12618319905075548,0.1608483053876621,9.999000099990002e-05,0.019198080191980802,*
all,Mixed,Mixed,Support Vector Machine,0.08054880252283313,0.16153077888951428,9.999000099990002e-05,0.019198080191980802,*
all,Mixed,Mixed,Random Forest,0.09146942808426199,0.16026216073322175,9.999000099990002e-05,0.019198080191980802,*
all,Mixed,Cognitive,Support Vector Machine,0.1310277629261028,0.15887252789022044,9.999000099990002e-05,0.019198080191980802,*
all,Memory,Cognitive,Support Vector Machine,0.07308321368417436,0.13979599957677347,9.999000099990002e-05,0.019198080191980802,*
confidence,Perception,Perception,Support Vector Machine,0.09734532548748978,0.18704697428370645,9.999000099990002e-05,0.019198080191980802,*
all,Memory,Cognitive,Random Forest,0.056620683872202315,0.12292887453918254,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Memory,Cognitive,Random Forest,0.05641644403118987,0.12308238097122556,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Mixed,Cognitive,Support Vector Machine,0.13272157931999576,0.1597682769409104,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Mixed,Support Vector Machine,0.16549032727841606,0.21049880877973376,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Mixed,Random Forest,0.171245524272027,0.20880452503150332,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Memory,Support Vector Machine,0.17050581607592039,0.20963118022201932,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Memory,Random Forest,0.16457377800210296,0.21101879780711602,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Cognitive,Support Vector Machine,0.17496544955627075,0.20159101728694664,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Cognitive,Random Forest,0.1575703069154394,0.20908113894189206,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Mixed,Perception,Support Vector Machine,0.11504762273156055,0.19816340577018438,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Mixed,Mixed,Support Vector Machine,0.08197798271120543,0.16194588517106134,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Mixed,Mixed,Random Forest,0.08930945558150928,0.16051934992690117,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Mixed,Memory,Support Vector Machine,0.12592387152829906,0.18984074873057144,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Mixed,Cognitive,Support Vector Machine,0.130155979798913,0.1837235944667119,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Memory,Perception,Support Vector Machine,0.10899363669339004,0.18100662776542312,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Memory,Perception,Random Forest,0.08639899944659411,0.18051769204069087,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Memory,Mixed,Support Vector Machine,0.10724497288128924,0.1815896938699862,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Memory,Mixed,Random Forest,0.10561325572096161,0.1752970114275249,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Memory,Cognitive,Support Vector Machine,0.12108240487164848,0.17050620224910412,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Memory,Cognitive,Random Forest,0.10482643554550339,0.1749228220863163,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Perception,Perception,Support Vector Machine,0.07111183191577346,0.3025427360583744,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Perception,Perception,Random Forest,0.14628025061749195,0.30618675801680795,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Perception,Mixed,Support Vector Machine,0.14628199123636607,0.5220346023239825,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Perception,Mixed,Random Forest,0.15991379778499762,0.21811924266095623,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Perception,Memory,Random Forest,0.1037647937760024,0.24508676220280629,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Perception,Cognitive,Support Vector Machine,0.14046477084683529,0.6335092978133483,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Perception,Cognitive,Random Forest,0.12606101511082907,0.16088833530403898,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Mixed,Mixed,Support Vector Machine,0.07665539426874411,0.1618643647086164,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Mixed,Mixed,Random Forest,0.07996803244261579,0.1592428508294284,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Mixed,Memory,Support Vector Machine,0.12263181441678447,0.16943677612898578,9.999000099990002e-05,0.019198080191980802,*
confidence-RT,Memory,Cognitive,Support Vector Machine,0.07710115005944358,0.13970723494767992,9.999000099990002e-05,0.019198080191980802,*
accuracy,Perception,Mixed,Support Vector Machine,0.014565178924666,0.024586062850594535,9.999000099990002e-05,0.019198080191980802,*
confidence-accuracy,Perception,Perception,Support Vector Machine,0.09398514381708108,0.19512094167451655,9.999000099990002e-05,0.019198080191980802,*
accuracy,Perception,Cognitive,Support Vector Machine,6.453779071228466e-14,2.907120317999212e-13,9.999000099990002e-05,0.019198080191980802,*
accuracy,Perception,Mixed,Random Forest,0.012667536248061355,0.023920551093567964,9.999000099990002e-05,0.019198080191980802,*
accuracy,Perception,Cognitive,Random Forest,0.002280433701401262,0.0031343305220985305,9.999000099990002e-05,0.019198080191980802,*
accuracy,Perception,Memory,Support Vector Machine,2.8527995115447695e-13,5.028989198676339e-13,9.999000099990002e-05,0.019198080191980802,*
accuracy,Perception,Memory,Random Forest,0.0057062931051135015,0.00839487196776844,9.999000099990002e-05,0.019198080191980802,*
all,Mixed,Memory,Support Vector Machine,0.11992449983490702,0.17028515608271044,0.00019998000199980003,0.038396160383961604,*
confidence-RT,Memory,Mixed,Support Vector Machine,0.0660592265248598,0.15149838397132645,0.00029997000299970003,0.05759424057594241,n.s.
confidence,Mixed,Memory,Support Vector Machine,0.12583530241825844,0.1887948385217758,0.00029997000299970003,0.05759424057594241,n.s.
confidence-RT,Mixed,Cognitive,Random Forest,0.09090375913648571,0.1382574385752776,0.00029997000299970003,0.05759424057594241,n.s.
all,Mixed,Cognitive,Random Forest,0.0909735277723634,0.13816597522070734,0.00029997000299970003,0.05759424057594241,n.s.
confidence,Mixed,Memory,Random Forest,0.11744127558601201,0.19011559628635127,0.00039996000399960006,0.07679232076792321,n.s.
confidence-RT,Mixed,Perception,Support Vector Machine,0.11161334936551834,0.18453319146748007,0.0004999500049995,0.09599040095990401,n.s.
all,Mixed,Perception,Support Vector Machine,0.11162052230244193,0.1843761020448052,0.0004999500049995,0.09599040095990401,n.s.
accuracy,Mixed,Memory,Support Vector Machine,2.1944598915801805e-13,3.4827053135911554e-13,0.0004999500049995,0.09599040095990401,n.s.
accuracy,Perception,Perception,Random Forest,0.0039974164628487786,0.03085462596647233,0.0005999400059994001,0.11518848115188482,n.s.
confidence-accuracy,Mixed,Memory,Random Forest,0.11579612105665404,0.19156732186375056,0.0005999400059994001,0.11518848115188482,n.s.
all,Mixed,Perception,Random Forest,0.11045060586877636,0.1905221624623538,0.0006999300069993001,0.13438656134386562,n.s.
confidence,Mixed,Perception,Support Vector Machine,0.11593393530627766,0.1968660430095721,0.0006999300069993001,0.13438656134386562,n.s.
confidence,Mixed,Cognitive,Random Forest,0.10865420336553086,0.1924411952555246,0.0010998900109989002,0.21117888211178884,n.s.
confidence-accuracy,Mixed,Perception,Random Forest,0.10575951873448428,0.19995907042667663,0.001999800019998,0.38396160383961603,n.s.
confidence-accuracy,Mixed,Cognitive,Random Forest,0.104129639520914,0.19839807884394925,0.0020997900209979003,0.40315968403159685,n.s.
confidence,Mixed,Perception,Random Forest,0.10480204100561741,0.20318898391909493,0.0021997800219978004,0.4223577642235777,n.s.
confidence-RT,Mixed,Perception,Random Forest,0.09623805069290228,0.20716477139089026,0.0036996300369963003,0.7103289671032896,n.s.
confidence-RT,Memory,Perception,Support Vector Machine,0.051757612412975544,0.16436724271004927,0.0047995200479952005,0.9215078492150786,n.s.
all,Memory,Mixed,Support Vector Machine,0.0495408520425473,0.15753492220037568,0.0047995200479952005,0.9215078492150786,n.s.
confidence-RT,Memory,Mixed,Random Forest,0.049179902034593305,0.15681574585903313,0.004899510048995101,0.9407059294070593,n.s.
all,Memory,Perception,Support Vector Machine,0.0494361985464825,0.1644797526422019,0.006399360063993601,1.0,n.s.
all,Memory,Mixed,Random Forest,0.04543071361530922,0.1553390302983382,0.0071992800719928,1.0,n.s.
accuracy,Mixed,Mixed,Random Forest,0.0033278291228326013,0.014983479693341992,0.012398760123987601,1.0,n.s.
accuracy,Mixed,Memory,Random Forest,0.0025172824051426937,0.006051765192333309,0.0143985601439856,1.0,n.s.
accuracy,Mixed,Mixed,Support Vector Machine,0.0010895930994160442,0.005206017634597436,0.015198480151984802,1.0,n.s.
RT,Memory,Perception,Random Forest,0.010928772167286854,0.040760427102744225,0.015398460153984602,1.0,n.s.
confidence-RT,Memory,Perception,Random Forest,0.041762094705336504,0.16557940147622718,0.016198380161983803,1.0,n.s.
