feature_type,target_data,source_data,model_name,score_mean,score_std,pval,p_corrected,stars
RT,Mixed,Mixed,Support Vector Machine,0.003262379709286574,0.015500786407936982,0.018098190180981903,1.0,n.s.
accuracy,Perception,Perception,Support Vector Machine,0.0021392724290626637,0.023698666098255477,0.0184981501849815,1.0,n.s.
all,Mixed,Memory,Random Forest,0.06650769262884829,0.18263828594800763,0.022297770222977704,1.0,n.s.
confidence-RT,Mixed,Memory,Random Forest,0.0655721968133892,0.19145880168643387,0.028897110288971104,1.0,n.s.
all,Cognitive,Cognitive,Support Vector Machine,0.07989654002990276,0.10870652787822478,0.029197080291970802,1.0,n.s.
confidence-RT,Cognitive,Cognitive,Support Vector Machine,0.08118360715459896,0.11055274946404417,0.029397060293970604,1.0,n.s.
confidence-RT,Cognitive,Cognitive,Random Forest,0.07259560680301186,0.1066174744108669,0.0357964203579642,1.0,n.s.
all,Cognitive,Cognitive,Random Forest,0.07244590301563927,0.10684298964313993,0.035896410358964105,1.0,n.s.
all,Memory,Perception,Random Forest,0.03608816281668719,0.1687170971393757,0.0362963703629637,1.0,n.s.
confidence-accuracy,Memory,Memory,Random Forest,0.019462952126973215,0.1338320193994301,0.041695830416958304,1.0,n.s.
confidence-RT,Cognitive,Memory,Support Vector Machine,0.07161524336866948,0.11343275571731434,0.043195680431956804,1.0,n.s.
RT,Memory,Cognitive,Support Vector Machine,0.0007107435724953553,0.0035564425989424967,0.0461953804619538,1.0,n.s.
all,Cognitive,Memory,Support Vector Machine,0.06943328300962967,0.11499274582077591,0.050294970502949704,1.0,n.s.
confidence,Memory,Memory,Random Forest,0.018464183338387494,0.13358630052750178,0.051294870512948704,1.0,n.s.
confidence-RT,Cognitive,Mixed,Support Vector Machine,0.07088005689570656,0.1177931997738915,0.051594840515948405,1.0,n.s.
confidence,Memory,Memory,Support Vector Machine,0.018808394368887794,0.13358817257376526,0.052394760523947606,1.0,n.s.
accuracy,Mixed,Cognitive,Support Vector Machine,5.872038966181492e-14,2.055256788801426e-13,0.0524947505249475,1.0,n.s.
RT,Memory,Perception,Support Vector Machine,0.006855581692048885,0.03936914508838347,0.068993100689931,1.0,n.s.
confidence-accuracy,Memory,Memory,Support Vector Machine,0.01689177836159822,0.13365443312562134,0.0715928407159284,1.0,n.s.
all,Cognitive,Mixed,Support Vector Machine,0.06056481304861787,0.11681562485146564,0.0790920907909209,1.0,n.s.
accuracy,Mixed,Cognitive,Random Forest,0.000600873702760481,0.0024292220026599968,0.0866913308669133,1.0,n.s.
all,Cognitive,Perception,Support Vector Machine,0.05750806399618382,0.12900826177201635,0.10898910108989102,1.0,n.s.
confidence-RT,Cognitive,Perception,Support Vector Machine,0.057445473557231584,0.129823308540907,0.1110888911108889,1.0,n.s.
RT,Cognitive,Mixed,Support Vector Machine,5.313920292931984e-06,1.345175429329171e-05,0.135986401359864,1.0,n.s.
RT,Cognitive,Cognitive,Support Vector Machine,4.6163299961529186e-05,0.00013002877515940555,0.1382861713828617,1.0,n.s.
RT,Mixed,Mixed,Random Forest,0.002489403750950613,0.026846303854097527,0.16748325167483252,1.0,n.s.
confidence-RT,Cognitive,Perception,Random Forest,0.039048589611817196,0.14033789745783512,0.2131786821317868,1.0,n.s.
confidence,Cognitive,Cognitive,Random Forest,0.006604161996852444,0.08670303032777987,0.23017698230176983,1.0,n.s.
confidence-accuracy,Cognitive,Cognitive,Random Forest,0.00657856408256196,0.08693768336859471,0.23827617238276172,1.0,n.s.
accuracy,Cognitive,Cognitive,Support Vector Machine,4.204358891309576e-05,0.0005709158864245721,0.24747525247475252,1.0,n.s.
all,Cognitive,Perception,Random Forest,0.03271347520351692,0.14345879588896535,0.2532746725327467,1.0,n.s.
accuracy,Memory,Cognitive,Random Forest,0.00021758804975176464,0.0031030646314436374,0.26747325267473254,1.0,n.s.
all,Memory,Memory,Support Vector Machine,0.0047041777417578525,0.10542892274526176,0.30686931306869314,1.0,n.s.
confidence-RT,Memory,Memory,Support Vector Machine,0.004450610979068035,0.10650168833923135,0.32526747325267474,1.0,n.s.
all,Cognitive,Memory,Random Forest,0.012773259311363014,0.13087410613590275,0.37736226377362264,1.0,n.s.
confidence-RT,Cognitive,Memory,Random Forest,0.010463608091264329,0.13410893632579896,0.3965603439656034,1.0,n.s.
all,Cognitive,Mixed,Random Forest,0.00843780892796478,0.16147336219196637,0.41845815418458154,1.0,n.s.
confidence-RT,Cognitive,Mixed,Random Forest,0.008144177077536785,0.16158284904361278,0.41945805419458054,1.0,n.s.
RT,Perception,Perception,Support Vector Machine,0.0025372363160910344,0.2962278369416038,0.45225477452254775,1.0,n.s.
RT,Memory,Memory,Support Vector Machine,-0.00036744856388004523,0.010726878004629485,0.6376362363763624,1.0,n.s.
RT,Perception,Perception,Random Forest,-0.007798495704070571,0.5120861869738442,0.6495350464953504,1.0,n.s.
confidence-RT,Perception,Memory,Support Vector Machine,-0.030400355148888995,2.9886809985975944,0.6801319868013199,1.0,n.s.
all,Perception,Memory,Support Vector Machine,-0.03335004776542168,3.0058964781210924,0.6885311468853115,1.0,n.s.
accuracy,Cognitive,Memory,Support Vector Machine,-8.535939251028396e-14,9.942944067199033e-13,0.7394260573942606,1.0,n.s.
all,Memory,Memory,Random Forest,-0.010104674005185693,0.12726211841727192,0.7824217578242175,1.0,n.s.
confidence,Cognitive,Mixed,Random Forest,-0.018222686595136303,0.1511628493172989,0.8036196380361964,1.0,n.s.
RT,Mixed,Cognitive,Support Vector Machine,-0.0005422831657442375,0.0034809882808623585,0.8097190280971903,1.0,n.s.
accuracy,Memory,Cognitive,Support Vector Machine,-4.540960200453507e-14,4.4403819753581186e-13,0.8165183481651834,1.0,n.s.
confidence-RT,Memory,Memory,Random Forest,-0.010301909521521609,0.12228914099485433,0.8194180581941806,1.0,n.s.
confidence-accuracy,Cognitive,Mixed,Random Forest,-0.021242547188822028,0.15138694230890679,0.8434156584341566,1.0,n.s.
confidence,Cognitive,Cognitive,Support Vector Machine,-0.01086252958667219,0.09687866146801828,0.8509149085091491,1.0,n.s.
RT,Cognitive,Cognitive,Random Forest,-0.0010352787730552625,0.002752746053658669,0.8556144385561444,1.0,n.s.
RT,Mixed,Cognitive,Random Forest,-0.0006999206271469228,0.0037749393767543015,0.8572142785721428,1.0,n.s.
confidence,Cognitive,Memory,Support Vector Machine,-0.022043470224017116,0.1482425670642812,0.861013898610139,1.0,n.s.
confidence,Cognitive,Mixed,Support Vector Machine,-0.022969034505193688,0.15023349720952298,0.8669133086691331,1.0,n.s.
RT,Cognitive,Mixed,Random Forest,-0.004075687611005354,0.009879872386284783,0.8709129087091291,1.0,n.s.
accuracy,Mixed,Perception,Support Vector Machine,-0.006624979058873078,0.03224603281455721,0.8862113788621138,1.0,n.s.
confidence,Cognitive,Memory,Random Forest,-0.027034696124139085,0.15574758239608139,0.8981101889811018,1.0,n.s.
accuracy,Memory,Memory,Random Forest,-0.0007971912851354081,0.00749500816914338,0.8986101389861014,1.0,n.s.
confidence-accuracy,Cognitive,Memory,Random Forest,-0.027243029952827694,0.1560105683182145,0.9003099690030997,1.0,n.s.
RT,Mixed,Perception,Random Forest,-0.003723717971130072,0.01609626328273876,0.9047095290470953,1.0,n.s.
confidence-accuracy,Cognitive,Cognitive,Support Vector Machine,-0.013227685541972505,0.0963219131832289,0.9064093590640936,1.0,n.s.
RT,Perception,Cognitive,Support Vector Machine,-0.006343231682128918,0.09207157471430949,0.9066093390660934,1.0,n.s.
RT,Perception,Memory,Support Vector Machine,-0.3438109077446848,4.86434819364349,0.9109089091090891,1.0,n.s.
accuracy,Mixed,Perception,Random Forest,-0.007632991653826766,0.03253781660012727,0.9152084791520848,1.0,n.s.
confidence,Cognitive,Perception,Support Vector Machine,-0.030540383807983473,0.15795984777313704,0.9244075592440756,1.0,n.s.
RT,Memory,Cognitive,Random Forest,-0.0008400615586717896,0.004972895636644448,0.9247075292470753,1.0,n.s.
confidence-accuracy,Cognitive,Memory,Support Vector Machine,-0.0207396135179098,0.1472600325312885,0.9296070392960704,1.0,n.s.
accuracy,Cognitive,Memory,Random Forest,-0.0019275905709670823,0.008002271416351101,0.9623037696230377,1.0,n.s.
confidence,Cognitive,Perception,Random Forest,-0.04164554781352349,0.16607486422827525,0.9716028397160283,1.0,n.s.
confidence-accuracy,Cognitive,Mixed,Support Vector Machine,-0.028829794994326793,0.15161444041262373,0.9795020497950205,1.0,n.s.
accuracy,Memory,Mixed,Support Vector Machine,-0.0031963933403681586,0.013002725853893778,0.9829017098290171,1.0,n.s.
confidence-accuracy,Cognitive,Perception,Support Vector Machine,-0.03118311534120071,0.1577429565433272,0.9834016598340166,1.0,n.s.
RT,Perception,Mixed,Support Vector Machine,-1.4707923873512876e-05,0.00012865582471168217,0.9878012198780122,1.0,n.s.
RT,Mixed,Perception,Support Vector Machine,-0.013997988242747256,0.03427731861742418,0.9898010198980102,1.0,n.s.
accuracy,Cognitive,Cognitive,Random Forest,-0.0028135038245174593,0.011100669598737846,0.99000099990001,1.0,n.s.
confidence-accuracy,Cognitive,Perception,Random Forest,-0.04927607824771294,0.16295769770042726,0.9908009199080092,1.0,n.s.
RT,Cognitive,Perception,Support Vector Machine,-0.0040651287023905506,0.004462014403537516,0.9919008099190081,1.0,n.s.
RT,Cognitive,Perception,Random Forest,-0.01780332727333756,0.018626823432734935,0.9921007899210079,1.0,n.s.
RT,Memory,Mixed,Support Vector Machine,-2.6699461191358465e-05,8.468627986851472e-05,0.9947005299470053,1.0,n.s.
RT,Cognitive,Memory,Random Forest,-0.012370408465873523,0.011538743480021357,0.997000299970003,1.0,n.s.
RT,Mixed,Memory,Support Vector Machine,-0.012589578072224637,0.026532790896721805,0.9971002899710029,1.0,n.s.
RT,Memory,Memory,Random Forest,-0.007517569923148897,0.023187780831370415,0.9993000699930007,1.0,n.s.
accuracy,Cognitive,Mixed,Support Vector Machine,-0.0077194608701251855,0.017136470761813224,0.9997000299970003,1.0,n.s.
RT,Perception,Memory,Random Forest,-0.01489574732104091,0.07480254800171797,0.9998000199980002,1.0,n.s.
RT,Perception,Cognitive,Random Forest,-0.0016742116818082805,0.009034754633139424,0.9999000099990001,1.0,n.s.
accuracy,Cognitive,Mixed,Random Forest,-0.010222099130021742,0.0207771294924456,0.9999000099990001,1.0,n.s.
RT,Cognitive,Memory,Support Vector Machine,-0.00618109789427535,0.002894495343647124,1.0,1.0,n.s.
RT,Mixed,Memory,Random Forest,-0.022452674858758313,0.023881031729302084,1.0,1.0,n.s.
accuracy,Memory,Perception,Random Forest,-0.019402756152417475,0.0222078123632223,1.0,1.0,n.s.
accuracy,Memory,Mixed,Random Forest,-0.006985764216759795,0.014922026305190824,1.0,1.0,n.s.
RT,Perception,Mixed,Random Forest,-0.06639868631242088,0.2562608822295014,1.0,1.0,n.s.
accuracy,Memory,Memory,Support Vector Machine,-0.0021313954160733562,0.006316155520526257,1.0,1.0,n.s.
accuracy,Cognitive,Perception,Random Forest,-0.03177621235795357,0.03265227041376636,1.0,1.0,n.s.
accuracy,Cognitive,Perception,Support Vector Machine,-0.03211482842312678,0.03201959757280528,1.0,1.0,n.s.
accuracy,Memory,Perception,Support Vector Machine,-0.021842034048790752,0.023294558961245423,1.0,1.0,n.s.
RT,Memory,Mixed,Random Forest,-0.0811354533807207,0.14736543850017955,1.0,1.0,n.s.
