filename,sub,accuracy,RT,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,targets
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,3.048,3.0,1.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.939,2.493,1.693,1.546,1.878,1.275,2.496,1.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.54,1.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.493,1.693,1.546,1.878,1.275,2.496,3.048,4.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.854,4.0,4.0,4.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.693,1.546,1.878,1.275,2.496,3.048,1.54,2.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.405,4.0,4.0,4.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.546,1.878,1.275,2.496,3.048,1.54,2.854,2.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.086,4.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.878,1.275,2.496,3.048,1.54,2.854,2.405,4.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.099,4.0,1.0,1.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.275,2.496,3.048,1.54,2.854,2.405,2.086,4.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.482,1.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.496,3.048,1.54,2.854,2.405,2.086,2.099,1.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.901,1.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.048,1.54,2.854,2.405,2.086,2.099,2.482,2.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.87,4.0,2.0,2.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.54,2.854,2.405,2.086,2.099,2.482,1.901,4.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.658,2.0,2.0,4.0,4.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.854,2.405,2.086,2.099,2.482,1.901,1.87,4.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.938,2.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.405,2.086,2.099,2.482,1.901,1.87,1.658,4.0
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.365,4.0,4.0,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.086,2.099,2.482,1.901,1.87,1.658,1.938,2.0
