filename,sub,accuracy,RT,feature1,feature2,feature3,feature4,feature5,feature6,feature7,targets
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.464,1.324,1.901,2.207,1.667,1.836,1.597,3.019,1.464
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.357,1.901,2.207,1.667,1.836,1.597,3.019,1.464,1.357
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.382,2.207,1.667,1.836,1.597,3.019,1.464,1.357,1.382
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.395,1.667,1.836,1.597,3.019,1.464,1.357,1.382,1.395
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.58,1.836,1.597,3.019,1.464,1.357,1.382,1.395,1.58
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.474,1.597,3.019,1.464,1.357,1.382,1.395,1.58,2.474
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.027,3.019,1.464,1.357,1.382,1.395,1.58,2.474,2.027
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.631,1.464,1.357,1.382,1.395,1.58,2.474,2.027,1.631
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.245,1.357,1.382,1.395,1.58,2.474,2.027,1.631,2.245
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.537,1.382,1.395,1.58,2.474,2.027,1.631,2.245,2.537
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.877,1.395,1.58,2.474,2.027,1.631,2.245,2.537,1.877
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.765,1.58,2.474,2.027,1.631,2.245,2.537,1.877,1.765
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.994,2.474,2.027,1.631,2.245,2.537,1.877,1.765,1.994
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.654,2.027,1.631,2.245,2.537,1.877,1.765,1.994,1.654
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,3.236,1.631,2.245,2.537,1.877,1.765,1.994,1.654,3.236
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.383,2.245,2.537,1.877,1.765,1.994,1.654,3.236,2.383
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.134,2.537,1.877,1.765,1.994,1.654,3.236,2.383,1.134
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,3.065,1.877,1.765,1.994,1.654,3.236,2.383,1.134,3.065
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.698,1.765,1.994,1.654,3.236,2.383,1.134,3.065,1.698
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.74,1.994,1.654,3.236,2.383,1.134,3.065,1.698,2.74
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.644,1.654,3.236,2.383,1.134,3.065,1.698,2.74,1.644
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.857,3.236,2.383,1.134,3.065,1.698,2.74,1.644,2.857
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,2.331,2.383,1.134,3.065,1.698,2.74,1.644,2.857,2.331
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,1,1.636,1.134,3.065,1.698,2.74,1.644,2.857,2.331,1.636
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,1.95,3.065,1.698,2.74,1.644,2.857,2.331,1.636,1.95
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp1.csv,1,0,2.197,1.698,2.74,1.644,2.857,2.331,1.636,1.95,2.197
