fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.0932593780648132,-0.3908925002576198,1193,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.42656612,-0.44049138,-0.43781495,-0.43750092,-0.43749663,-0.43805787,-0.4380709
1,0.3515287531078525,0.3326958680387762,1193,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.11757465,0.105510086,0.10115977,0.09857155,0.097827196,0.09790075,0.09837633
2,-0.050989456972996,-0.0617246891009251,1193,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.14179748,0.123024724,0.12764595,0.1272531,0.12779638,0.12773742,0.12747385
3,-0.0109725205573605,-0.0127264555783865,1193,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.01162781,-0.009595126,-0.010006872,-0.009684606,-0.009388212,-0.009141779,-0.009149174
4,-0.0881623241404354,-0.1166028442872872,1193,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.19202043,0.18065743,0.1838655,0.18429103,0.18505925,0.18519637,0.18519066
5,0.4561221383318463,0.4359276632678457,1193,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.21066298,0.20418578,0.20913084,0.20940877,0.21011604,0.21068525,0.21141538
6,0.0078591348415656,-0.0027807910585397,1193,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.17166132,0.15013695,0.15593262,0.15553004,0.15594995,0.15615451,0.15666682
7,-0.1616082907434286,-0.196435171297626,1193,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.14892612,0.14050256,0.14257112,0.14254296,0.14256923,0.14256757,0.1426827
8,0.0502292638823913,0.0248484008469964,1193,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.19718568,0.18641166,0.19055086,0.19090013,0.19153139,0.19194844,0.19234417
9,0.1602699828220429,0.1534520671994493,1193,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.08368984,0.06934526,0.06917566,0.068986684,0.06928382,0.0693517,0.06963154
10,0.2945705136939119,0.2881752551056693,1193,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.12147136,0.107056044,0.11085632,0.110510685,0.110887155,0.11033097,0.109810084
11,0.0790119218972623,0.0091588025422602,1193,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.25859675,0.27498454,0.28138697,0.2819802,0.28217173,0.28220066,0.281866
12,-0.0190529236556196,-0.0880647299743278,1193,same,13,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.2935422,0.28970453,0.29600877,0.2958254,0.29649925,0.2970743,0.29766384
13,0.0343884653844812,0.0335670338356073,1193,same,14,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.08944431,0.073209345,0.07603925,0.07627612,0.07689421,0.077590875,0.077358395
14,0.0888679547489034,0.0852906440838533,1193,same,15,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.122651204,-0.14357442,-0.14269313,-0.14198615,-0.14191651,-0.1416456,-0.1416259
15,0.3096119817453298,0.3051886421609934,1193,same,16,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.13698822,0.11877225,0.123909384,0.12397527,0.12412357,0.12454646,0.12522292
