fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.1923449947537848,0.1921404632280164,193,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.10933865,0.1426535,0.15622492,0.16272262,0.16570154,0.16677703,0.16719595
1,-0.0320043566783294,-0.0338901595197331,193,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.005720069,0.0048989686,0.005044754,0.0061261565,0.007393161,0.007830072,0.008845256
2,-0.0439725472854899,-0.0571847056698235,193,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.04397613,-0.060097508,-0.06299634,-0.06165625,-0.05889065,-0.05622706,-0.05360071
3,-0.0682325962459544,-0.0683035038471635,193,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.07711375,0.101989016,0.11167311,0.11609717,0.11781868,0.117078595,0.11541303
4,0.1903912408406699,0.1899206926631665,193,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.044835687,0.05639774,0.06043387,0.06100494,0.060377013,0.060239356,0.061080553
5,0.3852971736834544,0.3759802540823067,193,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.028238917,0.03818075,0.04433789,0.04827085,0.052097294,0.055850457,0.058941368
6,0.1528061709178203,0.1448252296947837,193,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.0040408364,-0.008810511,-0.010563227,-0.009725001,-0.009405952,-0.006875855,-0.0053936825
7,0.119249380628982,0.1182481474241174,193,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.066755556,0.088687085,0.097391196,0.1015091,0.101564705,0.10223633,0.10308972
8,-0.009855378612424,-0.0108495664154966,193,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.18338831,0.23529023,0.25289586,0.25913617,0.26138544,0.26220053,0.26249716
9,-0.0072817117314349,-0.0376021353438675,193,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.058598153,-0.07737678,-0.08367901,-0.085511364,-0.086042136,-0.086197816,-0.08624374
10,-0.0826506731133822,-0.0990046923177847,193,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.053698976,-0.074640915,-0.080795385,-0.08185908,-0.082700275,-0.080539316,-0.07897339
11,0.2824391951580106,0.2184726436378672,193,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.21766673,-0.28919762,-0.31573236,-0.3250681,-0.32848284,-0.33139694,-0.3333166
12,0.5224639817244698,0.5054276677595158,193,same,13,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.017698428,-0.022321517,-0.021916036,-0.020062849,-0.017841203,-0.015555071,-0.01326693
13,0.1379828540955647,0.1168972881575736,193,same,14,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.22895248,-0.30048257,-0.322573,-0.33101517,-0.33354414,-0.3326381,-0.33241445
14,-0.1143417097963106,-0.1217314018529021,193,same,15,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.01591997,-0.022236029,-0.026251435,-0.026369218,-0.028722923,-0.03021499,-0.03305652
15,-0.1428739005067238,-0.1431135077804441,193,same,16,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.11252588,0.14662564,0.15776205,0.16197118,0.16293903,0.16245782,0.16145962
16,-0.1507862568875269,-0.1557389580154962,193,same,17,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.11259575,0.14653473,0.1576109,0.16095684,0.16217257,0.16260973,0.16213839
