fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
10,0.21050752666081252,0.09788767556981248,486,same,11,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.0031446973094392703,-0.004130444389507226,-0.0006681968086986734,0.004832292709909103,0.013606063664487444,0.01755228836504803,0.18679239214387397
11,-0.009011121890734497,-0.01795810595283953,503,same,12,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.001986381830519424,-0.0015131944252182005,0.0024860307299428897,0.006984751901594599,0.003018648274346747,0.019745202313041377,0.06233014823704854
12,0.05184762239362639,0.04687280592405074,495,same,13,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.0057596744742098634,-0.008248620231488623,0.004048577310407153,-0.0015833279051031823,-0.013963539739741026,0.015816997080445948,0.12861085292638735
13,0.1775210345544469,0.15265389322148792,503,same,14,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.004161605319157591,0.011940398248709605,0.011587310192411725,0.005706980083438018,0.014493319609320144,0.018677442650725195,0.12450827861400063
14,0.02067456870135065,-0.009690922722209727,503,same,15,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.008842098239517825,0.00438684122401396,0.008358019830591012,-0.006791040835235051,0.003308886836126135,0.01629757959932643,0.04937993578115629
15,0.03489164383010113,-0.36301619205687063,495,same,16,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.003919448987284002,5.363939574607457e-05,0.012930336637632257,-0.010930771213895185,-0.008551455978225242,0.03291155047823251,0.047043876120976866
16,0.023492355866994608,0.023321308940135732,503,same,17,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.0037091993461082274,-0.005158204611291106,0.001673077607378648,-0.0030357487842481044,0.008705770209445384,0.0033307536158189376,0.08053888868280565
17,0.08089308625147673,0.0808898089158302,503,same,18,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.0003192174897739486,-0.00360204431878286,0.01085306007461082,0.006027359577236724,0.0008397934243188576,-0.025189065467504566,0.1396704804765804
18,-0.09691925185949546,-0.09706567315858572,494,same,19,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.0030597224630845242,0.00045541946140388313,-0.017201478089212775,0.002710341162690444,-0.010189767891886348,0.005678883288350534,0.016408790340981794
19,-0.023121727149592486,-0.02321268596295445,503,same,20,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.0078912383139353,0.0018231404216582981,0.008921516076692625,0.0068347715932327805,-0.00321719879763962,-0.01680252183188218,0.06361156954184857
