fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.0604481270379176,0.0593580707786649,503,same,1,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0750778131416599,0.0679042626625029,0.0833024601025228,0.0775259199342593,0.0839106979562698,0.0976815093095663,0.2542641009268185
1,0.3305707803565618,0.0815508174659684,492,same,2,C:10.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0743134110904401,0.0689839770508374,0.0811480233587265,0.0737717356859158,0.0819986038165983,0.0948602595768098,0.2514009909076649
2,-0.0077653450769099,-0.0084663005159624,503,same,3,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0771985545262699,0.0706080481124915,0.0839592515761995,0.0757047093458588,0.0819272773001186,0.0986253062611307,0.2532173189279156
3,-0.0903405189673245,-0.0917821709734536,503,same,4,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.076907503469154,0.0702164056294132,0.0822904355153862,0.0739510385838702,0.0853071461672386,0.0941437572773944,0.2592979167995681
4,0.0289988849702629,0.0253263915215924,471,same,5,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.076496726817174,0.0720151873447037,0.0817243338086034,0.0775910558427862,0.0850452341841329,0.0965487281492299,0.2536357494913588
5,-0.0237667483648726,-0.040225499347168,503,same,6,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0756659231871222,0.0705174385353499,0.0826008317492471,0.0766312798549607,0.0834276288204717,0.0954175252447419,0.2542333851612611
6,0.0370773045254524,0.0038112898152586,503,same,7,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0761904432586288,0.0709142252980594,0.0822106764268639,0.0745943568576491,0.0836631800694104,0.0978275870307642,0.2510468677625035
7,0.0387496422939542,0.0015383364144457,503,same,8,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0762671642365023,0.0685811438293884,0.0827565922085486,0.072466592912663,0.0831455921505143,0.0962540229381623,0.2553535415018984
8,0.2383969762878774,0.2355786264156663,495,same,9,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0766270582515976,0.0706600407612036,0.082908323269963,0.0744435363370161,0.0835316167636561,0.0972794175537809,0.2517999378216667
9,0.1998743421840645,0.1461493550256358,503,same,10,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0750941179342322,0.0691096080741723,0.0817483295381295,0.076099939278493,0.082982676597029,0.0966268367359615,0.2513523556110761
10,0.2179186691147256,0.157584175361475,486,same,11,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0757020518309202,0.0697337188692125,0.0824962683773681,0.0750870121982132,0.0822358434713982,0.0959544173696873,0.2517966117772376
11,-0.0423544416796333,-0.0466073242994757,503,same,12,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0764033038020482,0.071235943209991,0.0841079793103825,0.0758576118252118,0.0813449610702515,0.0963677854964453,0.2566239804680194
12,0.0382795060937128,0.0351652263256518,495,same,13,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0772504797158433,0.0686673480222869,0.0819921989956609,0.0786842584496961,0.0851505935738834,0.097990928712247,0.2518593626115745
13,0.1874835371650047,0.1721652856957319,503,same,14,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0765703335505449,0.0692646266956406,0.0832093810157064,0.0746152541893936,0.0808199774249198,0.0985302898625107,0.2526558960594462
14,0.011921022819157,-0.0097222756887136,503,same,15,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0760869884452327,0.0679764621838904,0.081790822264871,0.0784986823999054,0.0824084755976609,0.0941445855317901,0.2564677441697667
15,0.0229261460795187,-0.3105097645443728,495,same,16,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0712372609799168,0.0670446871229844,0.0775946845983176,0.0722052936194273,0.0799407777640412,0.0932552240423333,0.2504732410290755
16,0.0102973048101825,0.0102257412289435,503,same,17,C:1.0|dual:True|epsilon:0.0|fit_intercept:True|intercept_scaling:1.0|loss:squared_epsilon_insensitive|max_iter:1000|random_state:12345|tol:0.0001|verbose:0,confidence,Perception,Perception,0.0756898331957211,0.0722323599016482,0.0821688224719935,0.077784240779916,0.0825528279049858,0.0963093439585115,0.2554392759203108
