fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,-0.0705152048282564,-0.0999934958726735,713,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.06860098,-0.09037785,-0.096426085,-0.09856239,-0.098773845,-0.09928627,-0.09890856
1,0.269671893517487,0.2695678533876541,713,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.2152817,0.25707048,0.26841184,0.27171794,0.27208298,0.2717309,0.2708812
2,-0.1248789365828872,-0.2198351898537267,713,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.058243077,-0.06748921,-0.06821571,-0.06826771,-0.068269975,-0.06826929,-0.06826884
3,0.33244193077846,0.3246080565710455,713,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.034752063,0.04386039,0.047123834,0.048192088,0.048524372,0.04918587,0.04990138
4,0.2589359788358817,0.248855505927892,713,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.03538368,-0.045654092,-0.048371144,-0.048721977,-0.048346594,-0.04797128,-0.047373805
5,-0.0028277819485835,-0.0221620814575385,713,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.04128247,0.044984665,0.045684777,0.04586947,0.04644296,0.0465674,0.046360504
6,-0.026613645111815,-0.2385004954836291,713,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.3196927,-0.36394507,-0.36893153,-0.3694582,-0.37025198,-0.37035337,-0.3703676
7,-0.1111144376429129,-0.1121313506328638,713,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.121406354,0.13892582,0.14355215,0.14422023,0.14406985,0.14376082,0.14341862
8,-0.017533915854474,-0.03961490576793,713,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.02705836,-0.036052283,-0.03883345,-0.039863408,-0.040838096,-0.041816052,-0.042605855
9,-0.0313130986619072,-0.0531762467806886,713,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.124761455,-0.1526189,-0.15836912,-0.15994228,-0.15996082,-0.16043863,-0.16080654
10,0.2560394616549012,0.2555743506260316,713,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.18308178,-0.22309071,-0.23164716,-0.23353635,-0.23396079,-0.23431194,-0.23439522
11,0.1860327118239287,0.1852626098581057,713,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.21057369,0.25140285,0.26227218,0.2656572,0.26655468,0.26701745,0.2671289
12,0.1334154593731292,0.117784229227376,713,same,13,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.14922522,-0.17376247,-0.17747773,-0.17822714,-0.17892572,-0.17873874,-0.17839831
13,0.1100329489324553,0.1089493146963809,713,same,14,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.15671203,0.18765976,0.1957291,0.197767,0.1985042,0.19919997,0.20013443
14,0.0729296199725406,0.0567072306362351,713,same,15,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.061292425,-0.076030195,-0.07945545,-0.08023327,-0.08018497,-0.07988148,-0.079833515
15,0.1364057207476023,0.1295215671665449,713,same,16,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.13795531,-0.18436927,-0.2012228,-0.20776987,-0.21061257,-0.21186809,-0.21254584
16,0.0199306828056458,0.0047148654157754,713,same,17,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.28499156,-0.31501287,-0.31752238,-0.31760073,-0.3175977,-0.31759495,-0.31704295
17,0.0567945348280308,0.0509184503380466,713,same,18,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.15610415,-0.19657882,-0.20711382,-0.21019498,-0.21079594,-0.21052188,-0.2104731
18,-0.0630183448301557,-0.0964917161384228,713,same,19,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.14883049,-0.18112306,-0.18778953,-0.18944134,-0.18979505,-0.19014211,-0.18995269
