fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.1290878840454553,-0.3320070678561957,689,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.29046533,0.35463774,0.3777099,0.3860572,0.38961554,0.3909004,0.39194867
1,-0.230643982288393,-0.2952692715909175,713,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.083480544,0.09795531,0.101116836,0.10199799,0.101111606,0.1008567,0.10180942
2,-0.0020775930177239,-0.0255512277332139,661,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.25659558,-0.39152613,-0.47254267,-0.5258592,-0.56303704,-0.5899682,-0.6100026
3,1.0,0.0,705,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.27416497,-0.4136039,-0.49712235,-0.55257225,-0.59171426,-0.62048554,-0.64223593
4,-0.016731394289938,-0.0911543025484238,706,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.18786848,-0.29054973,-0.34901452,-0.38530114,-0.40924022,-0.4268479,-0.4394012
5,-0.1919098475963565,-0.3102270610582709,668,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.013777613,-0.03803608,-0.054396905,-0.06337315,-0.06666647,-0.068051904,-0.06815671
6,0.0096668603765862,-0.1236451740495956,664,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.07331108,-0.12648682,-0.15736654,-0.1763851,-0.18808466,-0.19729196,-0.20386799
7,0.9123426807819932,0.908430623624486,599,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.19810054,-0.3210151,-0.4004824,-0.4543946,-0.4917851,-0.51840484,-0.5376732
8,0.0273851713821186,0.0017631801035502,658,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.060987733,0.06058447,0.054302406,0.04793794,0.043762438,0.04022086,0.03694335
9,0.1464838714689266,0.1413017120900132,534,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.15394372,0.18433486,0.19122104,0.19333999,0.1964643,0.19771469,0.20059954
10,-0.2153306351669965,-0.2559257794348351,707,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.09036151,0.10846648,0.10981091,0.108645916,0.10688062,0.105753765,0.104676805
11,-0.3574029426195155,-0.4260517128250436,682,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.12507099,0.13985397,0.14362307,0.14445439,0.14423092,0.14490929,0.14602982
12,-0.0465223844440705,-0.1095612598065272,705,same,13,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.12270472,0.12837318,0.12422835,0.12075911,0.118783236,0.114575,0.11088669
13,-0.0010165666157391,-0.0665186242204132,690,same,14,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.26764375,-0.40749922,-0.49185827,-0.5479366,-0.5874873,-0.6165181,-0.6384023
