fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.1048619819248999,0.0872367470618576,1593,same,1,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.036966175,-0.04394951,-0.04437423,-0.0441981,-0.044012044,-0.043634623,-0.043600142
1,0.0218412158199495,0.0121283617942534,1593,same,2,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.09511599,-0.111946896,-0.11369429,-0.114052504,-0.114215046,-0.11425651,-0.11417867
2,0.052725309900695,0.0324681786264561,1593,same,3,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.028247138,0.031161014,0.032066077,0.032422144,0.032488137,0.03249777,0.032499366
3,0.0315892692832225,0.0286392488209011,1593,same,4,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.0625516,0.07163908,0.073292285,0.0734962,0.07354358,0.07363553,0.07388025
4,-0.1662249598925365,-0.185138268029785,1593,same,5,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.031880848,0.03185233,0.03232859,0.032297175,0.032284543,0.03252345,0.032652926
5,0.1361773332108349,0.1346871919093955,1593,same,6,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.22748226,0.27440268,0.2856372,0.28891024,0.2897904,0.29001427,0.2901745
6,-0.0702534250273654,-0.0743229607300077,1593,same,7,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.19717734,-0.23086065,-0.23587789,-0.23693933,-0.23716491,-0.23705874,-0.23717806
7,0.3015873536188279,0.3009350194462908,1593,same,8,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.09533786,0.11705232,0.12280757,0.12428415,0.12491378,0.12508413,0.12521864
8,0.1090662799677081,0.1015907528172249,1593,same,9,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.20024353,-0.21844028,-0.21905723,-0.2188253,-0.21879251,-0.21879019,-0.21892963
9,-0.0155135590043957,-0.0328376357317299,1593,same,10,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.10660398,-0.1244053,-0.12642065,-0.12663059,-0.12664679,-0.12664743,-0.1267938
10,-0.1168830131998284,-0.1324851513036573,1593,same,11,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.08945411,0.10124854,0.1037956,0.10443245,0.104757994,0.10483562,0.10485366
11,0.221325522326872,0.2164748497691757,1593,same,12,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.07387017,-0.08518386,-0.08531941,-0.084712975,-0.084224686,-0.083884776,-0.08371367
12,-0.018676171052417,-0.0320776098367847,1593,same,13,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.12613222,-0.14312106,-0.14429842,-0.1444396,-0.14429101,-0.14442135,-0.14458704
13,0.0165807084005614,0.0046388202950738,1593,same,14,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.024283899,-0.029226402,-0.029534552,-0.029668551,-0.029670633,-0.029670278,-0.029670168
14,0.1840894529655867,0.1772351730161502,1593,same,15,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.03686182,-0.041419227,-0.041310485,-0.040944327,-0.040890623,-0.040883914,-0.040736236
15,0.37719063235826,0.3771901172902272,1593,same,16,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.15343995,0.18189451,0.18836997,0.1899151,0.1905725,0.19091603,0.19100586
16,-0.0011335734836472,-0.0274931178061397,1593,same,17,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.14096387,-0.15482408,-0.15564542,-0.15564427,-0.15591608,-0.1559419,-0.15609
17,0.2597570429026302,0.2538644761388632,1593,same,18,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.06863718,0.08256521,0.08643809,0.08733866,0.0875099,0.08733466,0.087588444
18,0.0879764869034077,0.0877605249716106,1593,same,19,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.18097928,0.21613602,0.22417054,0.22614405,0.22700258,0.22724839,0.22730824
19,-0.0579564168463657,-0.0827844037900822,1593,same,20,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,-0.018575191,-0.028113421,-0.028756,-0.028906869,-0.028917728,-0.029215649,-0.029240968
20,0.2153668834734992,0.214685296393288,1593,same,21,"input(,7,1)->lstm(,7,1)->output(,1)",confidence,0.03887889,0.043424267,0.04460906,0.044859763,0.04482287,0.04482128,0.044821028
